ID,Updated on (date),Region,State,Name of Initiative,Partnership Continuity Status (DS),Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
81,Jun-17,North-East,Meghalaya,Partnerprofile,N/A,Fellowship,Jun-17 - Jul-17,0.00,Yes,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jun-17 - Jul-17,No,Y,Y,Y,N,N,N,N/A
80,Jun-17,East,Odisha,Karthiktestfour,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
78,Jun-17,East,Odisha,Karthitestthree,N/A,Fellowship,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
77,Jun-17,North,Uttar Pradesh,Sanjay Chimanlal Sheth,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
76,Jun-17,North,Jammu and Kashmir,Doddaballapura,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
75,Jun-17,North,Uttar Pradesh,Karthiktestone,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
73,Jun-17,West,Maharashtra,Mahiti,N/A,Fellowship,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
72,Jun-17,East,Bihar,Partnernamenew,N/A,Fellowship,Jun-17 - Jul-17,0.00,No,"Andaman and Nicobar Islands,Lakshadweep",Jun-17 - Jul-17,No,Y,Y,Y,N,N,N,Remarks
71,Jun-17,East,West Bengal,Tetingtwo,N/A,Implementing,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
68,Jun-17,East,Odisha,Kamkar,N/A,Fellowship,Jun-17 - Jun-17,0.00,No,Jammu & Kashmir,Jun-17 - Jun-17,No,Y,Y,N,Y,N,N,N/A
66,Jun-17,East,Bihar,New Partner Profile,N/A,Fellowship,Jun-17 - Jul-17,0.00,N/A,N/A,Jun-17 - Jul-17,No,N,N,N,N,N,N,N/A
63,Jun-17,North,Jammu and Kashmir,Partner Profile Creation,N/A,Implementing,Jun-17 - Jul-17,0.00,No,"Maharashtra,Mizoram,Kerala,Rajasthan,Nagaland,Rajasthan,Odisha,Bihar,Maharashtra,West Bengal,Gujarat,Goa,Manipur,Karnatakakarnatala,Andhra Pradesh,Karnataka,Jammu & Kashmir,Karnatakarajya,Delhi,Madhya Pradesh,Haryana,Punjab,Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Uttar Pradesh,Gujarat,Jharkand,Madhya Pradesh,Telangana,Chhattisgarh,Tamilnadu,Tripura,New Delhi",Jun-17 - Jul-17,No,Y,N,N,N,N,N,N/A
62,Jun-17,East,West Bengal,Partner Creation,N/A,Fellowship,Jun-17 - Jul-17,0.00,N/A,N/A,Jun-17 - Jul-17,No,N,N,N,N,N,N,N/A
61,Jun-17,East,Odisha,Partner,N/A,Fellowship,Jun-17 - Jul-17,0.00,N/A,N/A,Jun-17 - Jul-17,No,N,N,N,N,N,N,N/A
60,Jul-17,East,West Bengal,Abhilash,N/A,Fellowship,Jun-17 - Jun-20,0.00,N/A,N/A,Jun-17 - Jun-20,No,Y,Y,Y,Y,N,N,N/A
58,Jun-17,East,Tripura,Tester,N/A,Fellowship,Jun-17 - Jun-17,0.00,Yes,Jammu & Kashmir,Jun-17 - Jun-17,No,Y,Y,Y,N,N,N,Remarks
55,Jun-17,North-East,Assam,karthik,N/A,Fellowship,Jun-17 - Jul-18,0.00,Yes,"Karnataka,Jammu & Kashmir,Delhi,Gujarat",Jun-17 - Jul-18,No,Y,Y,Y,Y,N,N,N/A
53,Jun-17,Union Territory,Delhi,New Partner Test,N/A,Fellowship,Jun-17 - Jun-17,0.00,N/A,N/A,Jun-17 - Jun-17,No,N,N,N,N,N,N,N/A
49,Aug-17,North,Himachal Pradesh,Ramanapriya,N/A,Fellowship,Feb-17 - Aug-17,"87,00,000.00",No,Jammu & Kashmir,Feb-17 - Aug-17,No,Y,N,N,N,N,N,fsdafsd
48,Sep-17,North,Jammu & Kashmir,karthikeyan,N/A,Implementing,Aug-17 - Aug-20,"54,50,00,000.00",N/A,N/A,Aug-17 - Aug-20,Yes,Y,Y,N,Y,N,N,N/A
